COD_BARRAS,DESCRICAO,ESFERIC,CILIND,ADICAO,OLHO
5658893523,Lente Vis Simples 1.50 c/A.R.,"-3,75","-0,75","0,00",
5658893606,Lente Vis Simples 1.50 c/A.R.,"-4,00","-0,75","0,00",
5658891055,Lente Vis Simples 1.50 c/A.R.,"0,00","-1,00","0,00",
5658892418,Lente Vis Simples 1.50 c/A.R.,"-0,25","-1,00","0,00",
5658892491,Lente Vis Simples 1.50 c/A.R.,"-0,50","-1,00","0,00",
5658892574,Lente Vis Simples 1.50 c/A.R.,"-0,75","-1,00","0,00",
5658892657,Lente Vis Simples 1.50 c/A.R.,"-1,00","-1,00","0,00",
5658892731,Lente Vis Simples 1.50 c/A.R.,"-1,25","-1,00","0,00",
5658892814,Lente Vis Simples 1.50 c/A.R.,"-1,50","-1,00","0,00",
5658892897,Lente Vis Simples 1.50 c/A.R.,"-1,75","-1,00","0,00",
5658892970,Lente Vis Simples 1.50 c/A.R.,"-2,00","-1,00","0,00",
5658893051,Lente Vis Simples 1.50 c/A.R.,"-2,25","-1,00","0,00",
5658893135,Lente Vis Simples 1.50 c/A.R.,"-2,50","-1,00","0,00",
5658893218,Lente Vis Simples 1.50 c/A.R.,"-2,75","-1,00","0,00",
5658893291,Lente Vis Simples 1.50 c/A.R.,"-3,00","-1,00","0,00",
5658893374,Lente Vis Simples 1.50 c/A.R.,"-3,25","-1,00","0,00",
5658893457,Lente Vis Simples 1.50 c/A.R.,"-3,50","-1,00","0,00",
5658893531,Lente Vis Simples 1.50 c/A.R.,"-3,75","-1,00","0,00",
5658893614,Lente Vis Simples 1.50 c/A.R.,"-4,00","-1,00","0,00",
5658891063,Lente Vis Simples 1.50 c/A.R.,"0,00","-1,25","0,00",
5658892426,Lente Vis Simples 1.50 c/A.R.,"-0,25","-1,25","0,00",
5658892509,Lente Vis Simples 1.50 c/A.R.,"-0,50","-1,25","0,00",
5658892582,Lente Vis Simples 1.50 c/A.R.,"-0,75","-1,25","0,00",
5658892665,Lente Vis Simples 1.50 c/A.R.,"-1,00","-1,25","0,00",
5658892749,Lente Vis Simples 1.50 c/A.R.,"-1,25","-1,25","0,00",
5658892822,Lente Vis Simples 1.50 c/A.R.,"-1,50","-1,25","0,00",
5658892905,Lente Vis Simples 1.50 c/A.R.,"-1,75","-1,25","0,00",
5658892988,Lente Vis Simples 1.50 c/A.R.,"-2,00","-1,25","0,00",
5658893069,Lente Vis Simples 1.50 c/A.R.,"-2,25","-1,25","0,00",
